city,building_density_per_km2,average_building_height_m,street_tree_pct,green_space_pct,uhi_intensity_c,population_density_per_km2,building_density_per_km2_score,average_building_height_m_score,street_tree_pct_score,green_space_pct_score,uhi_intensity_c_score,population_density_per_km2_score,priority_score,priority_rank,primary_driver,secondary_driver,recommended_intervention,impervious_increase_pct,impervious_decrease_pct,stable_impervious_pct
ATHINA,343.2810256390477,9.769937536450778,3.2544089891416337,47.22266462665603,2.10118,1807.0998578762662,0.7099392825192176,0.8560598632249887,0.6474366546354973,0.026773509954172863,1.0,0.9585005269096701,0.6997849728739244,1,UHI Intensity,Population Density,Expand targeted cooling and shade,0.28,74.6,25.12
MILANO,235.56171196699512,9.383428648812798,4.814992318937638,9.927272189513904,2.00832,1549.623493777535,0.4333706033014179,0.7898523214959299,0.25675134304871594,0.9566676340101729,0.9062162298641621,0.7937932610383235,0.6894418987931203,2,Green-Space Deficit,UHI Intensity,Expand green infrastructure,0.43,70.0,29.57
AMSTERDAM,456.2552839629531,7.3563759803239135,4.219192231133019,8.189334984607827,1.44617,845.6564825444646,1.0,0.4426257028374719,0.40590732754702946,1.0,0.3384739685906176,0.343466559829504,0.5884122598007705,3,Building Density,Green-Space Deficit,Expand green infrastructure,0.32,80.37,19.32
BARCELONA,179.0116113158744,10.610236703259297,3.8174762857321882,48.29647349890187,1.37022,1871.9733374206203,0.28817856564761846,1.0,0.5064751833620839,0.0,0.2617684189264254,1.0,0.5094036946560213,4,Building Height,Population Density,Target cooling in high-density areas,0.2,81.33,18.48
MADRID,66.77042263770193,8.078551745406623,2.091410488921852,37.97216042125227,1.72486,862.2120424301634,0.0,0.5663317381491682,0.9385883174516818,0.2574183414747988,0.6199363732767764,0.3540571280678266,0.4560553164033753,5,Street-Tree Deficit,UHI Intensity,Expand street-tree coverage,0.29,83.16,16.55
BUDAPEST,173.76307865183358,5.231145478769476,4.261056434541582,24.274083930685954,1.99352,459.5456213186294,0.2747029901241378,0.07858158479554699,0.3954268046292658,0.5989554592545768,0.8912689996465183,0.0964719881205756,0.3892346377617702,6,UHI Intensity,Green-Space Deficit,Expand green infrastructure and targeted cooling,0.19,87.73,12.07
WIEN,104.98484461066478,5.11468551087393,1.929495507567268,23.58884632063126,1.65995,308.7371150438435,0.09811529475866004,0.05863242338989469,0.9791230352929602,0.6160406374906278,0.5543806493965562,0.0,0.3843820067214498,7,Street-Tree Deficit,Green-Space Deficit,Expand green infrastructure and street-tree coverage,0.21,85.48,14.31
LISBOA,173.80548076692892,6.9528541617900546,1.8461029608492452,36.514980978440434,1.11103,663.334174873279,0.2748118572953831,0.3735039090219837,1.0,0.29375051317267503,0.0,0.2268352375371003,0.3614835861711903,8,Street-Tree Deficit,Building Height,Expand street-tree coverage,0.35,79.78,19.88
PRAHA,157.63994229632718,4.772398935174038,3.407796342705512,28.37047183452158,1.70673,382.98646648532065,0.23330693611411482,0.0,0.6090367916634836,0.49681932948865776,0.6016260162601628,0.04749720507920861,0.33138104643427124,9,Street-Tree Deficit,UHI Intensity,Strengthen green infrastructure and shade,0.26,87.43,12.32
BERLIN,189.6713432364618,5.459625624839897,5.840579547280518,40.156174743453214,1.73047,527.1822553738698,0.31554736217623547,0.11771938806227936,0.0,0.20296383778532295,0.6256021814876535,0.13973904724258357,0.23359530279234578,10,UHI Intensity,Building Density,Target cooling in dense built-up areas,0.19,86.08,13.73
